Central Planning Mean,Smart Market Mean,Bilateral Market Mean
-9.193691076621663e-12,0.0,0.0
1125.292281186173,429.5001707042977,310.1848521798905
1977.1596842910556,762.7136082577949,496.2992938520519
3039.597815577244,1030.8102655860184,638.1574384641849
3855.2466141725517,1246.6509966341487,747.4390728048145
4701.731870075627,1582.3241247316141,876.0068075563852
5502.312895171941,1681.4302080056195,1039.9750138702577
6366.377916227526,1889.6433208932513,1183.5831434029326
7090.496126350487,2353.3835256097536,1373.803064791331
7777.8681788640115,2583.0032266250737,1542.6454747466423
8394.899110262255,2862.154207638936,1613.5070769492104
9114.296978964603,3075.5477944682843,1728.0173319583012
9690.404124729106,3394.8579943554923,1891.3675230006033
10471.33473660794,3790.542858642124,2057.1736759480627
11208.934719125597,4234.064323633373,2347.108197519284
11777.531611521388,4361.745928501574,2446.1450974946206
12202.879115740445,4574.111795783469,2543.1815106653485
12742.914725826708,4644.822402114885,2659.3012962752546
13154.420034394316,4729.296702157913,2842.1748611968796
13856.137809788455,5074.796838096154,2942.4472323670016
14402.671381853996,5307.708132767746,3025.4393668662938
15002.707725534427,5666.101106186641,3277.5014747219457
15405.883004979254,5982.615670366915,3403.5075693341346
15790.20147830003,6066.812011438164,3478.5770198943196
16216.392933928733,6234.229503234219,3693.124686198802
16552.263987156563,6506.840345915814,3730.789924908382
16896.267419345284,6614.782356496038,3867.4587178363045
17233.679123128,6758.396127807569,3942.150826547174
17565.297744833813,7003.883244588738,4094.5717823833356
18029.60917987348,7211.976553164586,4313.703983848708
18429.628420697667,7292.350316445707,4436.4769156053435
18700.657162700634,7245.024962414089,4559.632099311324
18928.73558388555,7674.102356174404,4613.315421287985
19100.69726164545,7703.970852732047,4643.464274692876
19310.796565601107,7797.932658767786,4730.366951905764
19525.14279068362,7802.359530214049,4762.355102556301
19705.085303096363,7881.940058432592,4821.858935573659
19873.794098244623,7905.573023621662,4891.03282889238
20202.7571541718,8074.939498516807,5096.918756781216
20354.48731821565,8162.725171186801,5221.400786403603
20612.552398281103,8290.529673139547,5410.4238042732895
20752.38316901277,8503.536405876188,5459.02011112861
20790.3574370084,8387.467170042699,5494.876991809629
20951.966839546647,8445.287124876879,5594.223940093981
21028.699129616318,8496.803658494173,5627.427810865709
21192.23169622771,8624.719429198412,5739.915757168749
21258.008712006373,8620.763750529659,5789.890112330841
21254.66209850065,8734.231768435544,5737.522636781572
21362.880523436663,8866.902812262153,5855.175250614048
21367.622362910344,8941.918605148567,5896.523675573577
21264.676412090903,8892.994279963314,5850.265751475665
21303.596336144437,8792.998811655241,5908.989284925552
21237.40071992205,8855.926285530863,5858.811800468525
21232.606438643546,8846.436347025017,5847.251078776819
21185.370595123586,8828.27523760275,5896.618241410124
21111.00899404704,8789.776687896003,5908.173128257272
20997.079231765572,8652.901408714584,5881.673098556469
20859.636016723955,8445.864010337224,5828.685355550507
20608.415592634963,8470.012657166983,5763.692902300544
20459.57931893152,8327.411791218983,5686.901108986626
20216.394573970356,8198.885563030628,5548.227955712445
19967.47493226171,8116.239186208135,5478.930748856688
19672.137912941333,8102.44225794723,5330.301617141954
19408.612760125074,7893.759889648572,5295.538223946002
19134.22982274895,7881.566295407043,5136.478834534599
18904.230385174153,7840.381828288475,5083.3094899801035
18625.250379836587,7747.922645405793,5031.722505303141
18201.167513666616,7590.615622382902,4771.927834001158
17910.03924734518,7459.208997772468,4634.345880846091
17562.26674472922,7128.287898614799,4507.528361498685
17363.66717576669,7153.447439913209,4472.253940823363
17024.5127016547,6974.8966282151305,4338.25042351605
16651.430737186864,6848.7146099299425,4235.053671458789
16267.188927657055,6637.846401160445,4177.023143449127
15935.830895601657,6531.784914223739,4075.85652061015
15638.713705963664,6361.2079929461615,4018.791375426209
15288.83457563887,6301.089681093799,3897.4106232040376
14838.243880274,6034.446344404205,3813.969030638517
14280.107922922396,5918.333103968282,3613.683881105975
13856.67717406318,5795.782817831547,3538.0231899317355
13308.436954354198,5562.964874076839,3461.501148744203
12808.709794072447,5342.53217479802,3307.400642224342
12272.804130333167,5190.023377398335,3123.7891633900817
11774.86357914965,4961.205395175013,3038.732408030677
11213.706022508963,4626.737770696942,2840.64122736454
10529.34362035355,4358.3744923572085,2565.033037889282
9903.295602601418,4050.5729867595364,2431.966174611414
9247.795940907472,3771.406094580627,2235.167218320993
8764.212521661484,3665.5492051770416,2175.9356275088485
8191.733607908952,3553.255921893826,2075.160461143502
7720.0426709854555,3479.2486702747265,2025.8453497218247
6969.253670096609,3050.9407697151473,1797.3798289681972
6259.25698664852,2827.1859226055094,1635.6526530960514
5786.293177066682,2637.7090173853794,1570.8069789454012
4952.345547797922,2210.5802543151513,1335.8779068545857
4240.195598451873,1958.6354530710378,1196.4157978249837
3263.9838293335756,1494.668022961734,905.631670322368
2619.067724126342,1177.5969409894751,757.9077182915362
1712.7524456403419,829.2217962858995,523.1319050680556
915.4953514935348,403.2123664714891,269.96165505463375
-9.237055564881302e-14,0.0,0.0
