P,num_trading_agents_BM
0.01,13
0.02,24
0.03,35
0.06,67
0.07,76
0.04,46
0.05,57
0.09,98
0.1,107
0.11,122
0.12,125
0.13,146
0.14,157
0.08,85
0.15,169
0.16,175
0.17,188
0.18,187
0.19,208
0.2,215
0.22,228
0.24,248
0.25,259
0.26,280
0.27,277
0.28,285
0.21,229
0.29,286
0.3,302
0.23,248
0.31,315
0.33,334
0.34,330
0.35,346
0.36,352
0.38,352
0.32,329
0.39,364
0.4,378
0.41,379
0.43,406
0.37,353
0.45,402
0.46,407
0.47,394
0.48,400
0.49,418
0.44,396
0.5,413
0.51,405
0.53,390
0.54,396
0.56,382
0.57,388
0.58,381
0.79,233
0.77,256
0.81,203
0.78,245
0.59,378
0.6,385
0.61,381
0.76,273
0.75,270
0.62,382
0.82,199
0.66,350
0.71,321
0.7,315
0.65,355
0.67,333
0.73,302
0.64,359
0.72,310
0.74,284
0.69,335
0.63,369
0.68,338
0.84,182
0.8,221
0.83,185
0.01,13
0.03,35
0.98,25
0.99,15
0.52,403
0.04,47
0.97,38
0.88,141
0.96,47
0.05,56
0.95,58
0.89,126
.06,65
0.08,91
0.55,400
0.09,101
0.94,71
0.93,83
0.1,106
0.9,112
0.92,87
0.91,102
0.12,132
0.11,119
0.14,153
0.15,162
0.16,171
0.17,180
0.18,197
0.19,195
0.21,219
0.22,236
0.86,156
0.23,245
0.87,143
0.85,167
0.28,291
0.31,322
0.13,143
0.35,337
0.36,362
0.2,212
0.38,374
0.39,370
0.43,396
0.24,245
0.44,404
0.26,272
0.25,262
0.27,275
0.29,297
0.51,407
0.3,308
0.32,321
0.33,333
0.34,338
0.37,350
0.4,380
0.57,385
0.58,388
0.59,391
0.41,381
0.42,383
0.46,404
0.6,376
0.47,411
0.61,380
0.5,410
0.45,402
0.49,418
0.63,375
0.52,408
0.53,402
0.55,396
0.54,403
0.56,386
0.64,363
0.66,351
0.99,15
0.65,361
0.01,13
0.67,346
0.68,342
.96,45
0.95,59
0.02,23
0.04,42
0.03,36
0.69,332
0.05,52
0.93,86
0.06,70
0.92,92
0.08,86
0.9,115
0.09,101
0.89,126
0.91,108
0.73,311
0.71,313
0.1,110
0.75,273
0.77,260
0.79,218
0.87,145
0.74,286
0.88,134
0.78,246
0.11,122
0.12,129
0.76,267
0.14,151
0.8,221
0.82,204
0.86,157
0.83,186
0.85,173
0.84,182
0.15,166
0.16,174
0.17,184
0.18,191
0.19,203
0.2,204
0.21,229
0.72,304
0.22,232
0.23,251
0.24,259
0.25,261
0.26,273
0.27,285
0.28,285
0.3,305

0.32,326
0.31,310
0.34,333
0.33,327
0.36,360
0.35,348
0.37,346
0.39,366
0.38,367
0.45,407
0.41,385
0.44,392
0.43,396
0.46,411
0.48,398
0.47,410
0.49,413
0.5,435
0.51,412
0.54,389
0.52,406
0.55,402
0.57,386
0.56,392
0.58,399
0.6,375
0.59,386
0.61,379
0.97,37
0.96,45

0.63,380
0.62,372
0.98,25
0.99,17
0.95,59
0.94,70
0.92,88
0.9,112
0.65,347
0.93,82
0.01,13
0.02,24
0.89,128
0.87,146
0.91,106
0.66,348
0.03,37
0.67,339
0.04,45
0.88,140
0.05,57
0.06,64
0.73,296
0.07,84
0.68,339
0.86,157
0.84,174
0.72,315
0.85,168
0.79,238
0.09,101
.1,108
0.83,187
0.71,317
0.69,328
0.8,222
0.11,120
0.74,288
0.75,270
0.12,126
0.81,214
0.78,242
0.13,142
0.14,154
0.15,163
0.16,175
0.76,264
0.17,181
