P,TV0
0.0,0.0
0.23,18076.72403633222
0.22,17325.92989221132
0.08,6333.090752273849
0.27,21098.16028405638
0.31,24178.757677656784
0.17,13533.512715793906
0.01,658.0829669247264
0.39,30506.33408854509
0.04,3124.3708043023157
0.11,8697.494300214841
0.21,16448.403497959083
0.1,7711.079116446201
0.13,10318.00092030393
0.24,18918.525604017956
0.09,7064.871821428883
0.19,15080.829210253105
0.28,21988.027574491272
0.05,3952.775856552317
0.18,14174.761507390333
0.42,32981.84072624198
0.02,1292.8621164371093
0.47,36889.114093769975
0.43,33675.91679312879
0.45,35260.225657672745
0.46,36019.84829831586
0.44,34505.45854671161
0.12,9397.502540762285
0.48,37564.84704047075
0.41,31916.265184345935
0.2,15806.707954483018
0.29,22689.349211200042
0.25,19717.292731817015
0.36,28402.70456538828
0.3,23510.972199451826
0.15,11746.26958443752
0.34,26652.0105265238
0.03,2259.3040041796135
0.35,27465.666810546583
0.49,38237.92557494446
0.37,29115.823991967416
0.38,29611.81320334384
0.69,55056.21540575333
0.14,10885.045528171808
0.66,52413.45093779379
0.68,54187.87209712413
0.16,12495.777286151304
0.72,57316.18227347794
0.77,61063.81713448472
0.07,5514.005152748822
0.65,51589.27008105845
0.78,62025.696617289475
0.63,49994.69436856964
0.06,4669.115658807042
0.73,58078.55821495098
0.7,55671.828955034296
0.64,50804.86155949804
0.74,58874.25765107424
0.76,60239.356913499694
0.71,56465.76935239629
0.62,49128.54151579928
0.75,59525.46050253867
0.67,53394.74424034008
0.93,73913.03397159756
0.82,65265.60185620353
1.0,80128.190760988
0.9,71583.5177568338
0.95,75656.16675408382
0.26,20363.48318278477
0.92,73341.44202484327
0.8,63651.62444240627
0.96,76715.28686741175
0.85,67768.40122618563
0.79,62779.35738457621
0.91,72477.85523410898
0.81,64450.19980804522
0.87,69512.43246788639
0.84,66850.99219801275
0.98,78367.40115454346
0.88,70196.37191394901
0.86,68646.03898112774
0.94,74857.47515626885
0.99,79197.67905518405
0.89,70957.31949208748
0.32,24947.812840738738
0.97,77401.08351805423
0.61,48220.889996497935
0.83,66041.74431421461
0.6,47332.30225413413
0.33,25897.235917398153
0.55,43125.695505676435
0.59,46449.857414360355
0.4,31114.640012375126
0.58,45671.434717109165
0.57,44554.96038105795
0.52,40742.19207035143
0.56,43889.512542227174
0.53,41563.962273197605
0.54,42298.448876589246
0.51,40054.76761952844
0.5,39128.60304067773
