P,num_trading_agents_BM
0.01,13
0.02,18
0.03,31
0.04,39
0.05,46
0.06,55
0.07,63
0.08,75
0.09,80
0.1,87
0.11,94
0.12,100
0.13,109
0.14,128
0.15,127
0.16,129
0.17,130
0.22,164
0.23,166
0.18,135
0.25,170
0.26,174
0.19,150
0.2,156
0.27,168
0.21,162
0.29,177
0.24,166
0.31,176
0.32,170
0.28,164
0.33,166
0.34,156
0.35,158
0.37,146
0.3,184
0.36,154
0.38,157
0.39,154
0.4,148
0.41,154
0.42,157
0.43,155
0.44,137
0.47,140
0.45,155
0.49,133
0.5,127
0.52,125
0.46,141
0.57,101
0.58,100
0.54,115
0.55,103
0.56,103
0.61,96
0.48,134
0.6,103
0.66,67
0.64,78
0.65,72
0.62,88
0.63,82
0.7,59

0.68,59
0.75,65
0.67,61
0.69,61
0.71,64
0.72,65
0.76,56
0.74,66
0.77,61
0.51,130
0.01,12
0.99,0
0.98,2
0.02,19
0.53,114
0.85,22
0.97,7
0.03,29
0.8,44
0.96,9
0.95,12
0.87,19
0.82,36
0.83,36
0.94,15
0.89,20
0.88,21
0.07,67
0.92,23
0.93,17
0.9,20
0.91,21
0.1,90
0.12,106
0.79,44
0.14,121
0.16,131
0.04,38
0.05,46
0.08,75
0.06,58
0.09,84
0.11,96
0.22,167
0.25,174
0.13,109
0.28,172
0.15,128
0.17,140
0.3,180
0.31,173
0.18,144
0.19,150
0.34,158
0.21,165
0.2,156
0.37,140
0.23,167
0.4,154
0.24,172
0.26,168
0.27,176
0.44,145
0.29,179
0.32,173
0.45,142
0.46,142
0.33,161
0.36,154
0.48,139
0.35,157
0.47,133
0.38,150
0.49,134
0.41,154
0.39,158
0.5,126
0.42,157
0.43,152
0.53,127
0.54,115
0.51,128
0.57,100
0.55,115
0.56,108
0.58,105
0.59,99
0.61,94
0.62,84
0.6,95
0.97,7
0.96,9
0.95,10
0.98,2
0.99,0
0.63,83
0.66,79
0.64,78
0.67,66
0.65,72
0.94,19
0.7,61
0.92,21
0.68,55
0.88,19
0.01,12
0.9,20
0.93,22
0.91,23
0.89,18
0.02,18
0.85,24
0.86,25
0.69,58
0.03,33
0.84,24
0.71,64
0.74,66
0.73,60
0.75,64
0.72,65
0.04,36
0.81,38
0.83,36
0.82,35
0.05,46
0.8,42

0.77,56
0.07,63
0.06,56
0.08,75
0.09,77
0.1,78
0.11,97
0.12,106
0.13,109
0.14,123
0.15,127
0.16,133
0.17,134
0.18,138
0.19,147
0.2,151
0.21,166
0.22,162
0.23,167
0.24,173
0.25,175
0.26,166
0.28,173
0.27,177
0.29,177
0.76,55
0.3,175
0.31,180
0.32,165
0.33,162
0.34,169
0.35,165
0.37,144
0.36,148
0.38,154
0.39,150
0.41,154
0.4,153
0.42,140
0.43,150
0.44,149
0.45,154
0.48,141
0.5,127
0.49,136
0.51,126
0.52,124
0.53,125
0.55,112
0.54,123
0.56,107
0.57,99
0.58,97
0.61,98
0.6,90
0.59,98
0.64,78
0.62,93
0.94,17
0.98,2
0.96,9
0.95,12
0.93,21
0.92,18
0.99,0
0.9,24

0.97,5

0.88,19
0.91,17
0.89,19
0.65,70
0.01,12
0.7,63
0.67,62
0.87,17
0.02,19
0.73,57
0.84,29
0.04,37
0.85,26
0.86,24
0.71,62
0.03,31
0.72,64
0.68,59
0.83,32
0.81,40
0.79,44
0.8,42
