P,num_trading_agents_SM
0.23,130
0.05,40
0.08,65
0.2,121
0.27,141
0.34,133
0.37,125
0.01,12
0.39,128
0.11,81
0.45,114
0.44,118
0.46,111
0.21,128
0.1,74
0.09,68
0.13,97
0.24,135
0.28,139
0.19,112
0.02,17
0.18,110
0.04,33
0.25,139
0.22,124
0.03,25
0.35,130
0.12,86
0.53,94
0.14,108
0.29,140
0.36,126
0.31,138
0.3,142
0.17,109
0.15,110
0.06,48
0.61,79
0.38,126
0.63,71
0.69,49
0.74,52
0.26,141
0.76,51
0.78,44
0.8,35
0.81,34
0.32,134
0.16,110
0.73,49
0.71,46
0.7,43
0.07,58
0.82,32
0.72,48
0.85,22
0.33,131
0.77,52
0.67,54
0.75,52
0.84,25
0.86,22
0.87,18
0.96,9
0.93,13
0.89,17
0.94,13
0.95,11
0.98,2
0.9,16
0.68,52
0.99,0
0.66,64
0.91,17
0.92,16
0.97,5
0.4,128
0.79,36
0.64,65
0.88,17
0.65,65
0.83,32
0.48,103
0.42,126
0.47,108
0.59,82
0.62,74
0.58,85
0.43,122
0.57,84
0.52,100
0.54,92
0.6,78
0.56,88
0.41,128
0.55,89
0.5,100
0.51,101
0.49,99
