P,num_trading_agents_CPP
0.0,0
0.01,0
0.02,7
0.03,7
0.04,11
0.05,17
0.06,21
0.07,21
0.08,21
0.09,28
0.1,22
0.11,25
0.12,31
0.13,33
0.17,35
0.14,35
0.2,38
0.19,34
0.3,39
0.18,41
0.15,35
0.27,44
0.25,44
0.16,35
0.29,47
0.31,47
0.41,45
0.42,45
0.4,41
0.33,43
0.21,42
0.37,45
0.32,43
0.48,46
0.35,45
0.36,45
0.49,46
0.44,45
0.22,42
0.28,44
0.46,46
0.24,44
0.34,43
0.23,42
0.43,45
0.71,48
0.73,50
0.66,50
0.38,45
0.45,45
0.67,50
0.68,50
0.47,46
0.65,50
0.64,50
0.26,44
0.69,48
0.72,50
0.5,46
0.76,50
0.39,45
0.78,50
0.55,46
0.7,48
0.81,49
0.75,50
0.92,36
0.57,48
0.51,46
0.59,48
0.54,46
0.61,48
0.8,49
0.74,50
0.58,48
0.52,46
0.62,50
0.53,46
0.77,50
0.79,50
0.97,50
0.6,48
0.98,50
0.56,48
0.99,49
0.85,49
0.9,48
1.0,0
0.84,49
0.94,50
0.82,49
0.91,50
0.87,49
0.89,48
0.86,49
0.88,49
0.96,50
0.93,50
0.83,48
0.95,50
0.63,50
