P,lagrange_multiplier_theta_mean,lagrange_multiplier_theta_min,lagrange_multiplier_theta_max,lagrange_multiplier_theta_25th_percentile,lagrange_multiplier_theta_75th_percentile
0.0,39.981828439182706,39.89156304995319,40.120826555214144,39.91560446766407,40.057181386013696
0.03,34.33182640646183,31.103003521553,42.25951476939648,34.30013015735507,34.52102306455064
0.04,33.45637304179183,31.10056084319996,43.73116175048094,32.778339376416085,33.5088443841718
0.35,19.593027695447258,10.683265018060071,38.436121964068356,17.61040926577936,21.073219914047492
0.05,32.463574526825724,29.914998551563627,44.86601375224303,32.07911987123385,32.861106632235014
0.01,36.79722499224399,34.62606790749507,39.12598334915557,36.7825733422099,37.719835831545915
0.06,31.87491619280303,29.96936330306748,45.253278029421224,30.930179952343362,31.742503212316308
0.37,18.949930709963876,10.699148667921534,38.72570179744428,16.52387849578563,21.07230004783022
0.45,16.57919708267111,-0.0007440025540894624,38.58273192506113,14.101379157668948,17.271359168078465
0.07,31.111833054129974,28.98490224818338,46.08737765431834,30.35603194359839,30.98644873329489
0.02,35.42660987056085,32.08120603057867,41.35213711001779,34.518049496927674,37.0269446465724
0.46,16.229617533142065,-0.009996381798654141,38.535659231990685,13.121783918367338,17.273118801624342
0.24,23.279962892941125,10.751599186448002,40.60406087289152,20.78818003677288,24.72878859789058
0.2,24.756512665336345,10.617033540071908,41.032744793406465,22.66907402911059,27.663666495891068
0.21,24.371754907726164,10.631973078203414,41.01436246696066,22.098015462154844,27.43174235654104
0.22,23.972750145807986,10.638161524946144,40.89452031947816,21.9941830291097,27.18787478299214
0.26,22.585791960531658,10.756909701514946,40.46922841886787,20.52576213161604,23.81296950473971
0.64,10.801926054877681,-0.0013515593313275787,38.26619899682755,8.642109528080674,10.923793447073766
0.34,19.903959095226472,10.721380597743098,38.56471411808096,18.099354643010777,21.133411857703454
0.23,23.686188391557486,10.753843253940422,40.754385569014914,21.39077394300989,26.90813551129645
0.39,18.34445083602079,10.710655187318377,38.58806204014477,16.5254685201687,19.33976396256574
0.17,26.038448412889462,16.940208356148766,42.6466197167359,23.195941984122463,28.717698121480765
0.25,22.98499087596312,10.668913690771769,40.556138308295985,20.784424593648573,24.139106113903324
0.29,21.573432162359705,10.745687703838518,39.63945901398394,19.708115456652035,22.29745630512829
0.66,10.213146005559807,-0.025549023508242286,38.1645158899453,7.918403902661505,10.572776037231485
0.33,20.213081125167758,10.68084857056422,38.58354844293784,18.469713717431276,21.95856647063978
0.38,18.639421531340478,10.725354339415908,38.72613253830612,16.527343204218276,21.065055721364537
0.32,20.569381687746343,10.710434776017053,38.629281247303055,18.905779411344085,21.954277035086488
0.28,21.871771678537247,10.748823081543874,39.84196377008388,20.024047961607682,22.297111334101913
0.76,7.259710946049876,-0.051148041240605124,11.289795407730374,6.231169229361874,7.604443531804943
0.44,16.80148973473026,0.056061409727785616,39.88826353669579,14.684740414836643,17.66846125448386
0.47,15.898679167581456,-0.023748479660188337,39.67630951144808,12.941002320219752,17.271872570418743
0.48,15.646754705307714,-0.02267132537101446,39.593494906003016,12.557610587824545,16.862944311717712
0.08,30.539752413880073,25.346240348727612,46.19184791838592,28.677150765733025,30.97013917183745
0.16,26.418228313938844,16.932836446859437,43.755553729375364,23.907409787062335,28.72479467147607
0.18,25.5298450451707,10.661548913593752,41.59179043358677,23.200539952505963,28.06149091773963
0.75,7.552377103800633,-0.01330892802819239,11.257644716742018,6.232841957009937,7.961570067549529
0.27,22.207024953560236,10.74495257141937,40.083481173293926,20.27702401859483,23.81272730400701
0.68,9.707134755667456,-0.012248448033062687,18.634831688760897,7.5551075761235795,9.996836038441785
0.89,3.347464869327083,-0.22990931727343655,5.997868882942756,2.8643506293454375,4.879826956419728
0.98,0.6086923830753432,0.45436842106026987,0.7595423525804441,0.4677547981499231,0.7484866533758955
0.99,0.3130148442859902,0.2862513662685769,0.34352431453073323,0.2964977466122017,0.33235468876955515
1.0,4.68134811211507e-06,-0.000510749170845844,0.0005178305592817262,-0.0001695511351817101,0.0001758163747127726
0.78,6.650689257648968,-0.12115893982251347,10.361268626915376,5.522754541835994,7.020780347608742
0.96,1.2123392588461788,-0.0690310798991407,4.524302522254389,0.9706762863473706,1.076511504168707
0.74,7.828817826457565,-0.006632332347832559,11.26427416821571,6.4977939085966865,8.308391752784644
0.91,2.7313022851147783,-0.07350914462839375,5.929732670348891,2.5152210416459693,3.831685846618382
0.94,1.8252274587057304,-0.04019621608664248,4.266071911078843,1.5008961440194692,2.68798432808486
0.9,3.052602943645209,-0.0841987548821197,5.932545519661186,2.768256824189074,4.492058605995526
0.95,1.5565466053762762,-0.05340675656704352,4.443873855523423,1.4145748222012147,2.06937476600762
0.1,29.379960774804648,24.53211245070772,45.70363233393674,27.898653633847207,30.439641820740082
0.92,2.4226309244063984,-0.07666781351914054,5.949130952508192,2.030137713730112,3.8320147598215
0.73,8.133900880779866,-0.012259024197316393,11.260311936174132,6.5017484121102616,9.062361882386035
0.77,7.000965773132241,-0.06994848355665084,11.354178865118207,5.9938235817358425,7.449948397863507
0.52,14.451995431122448,-0.015830130851236746,39.618090898814174,10.642922481073036,16.16881931660344
0.83,5.184449312540499,-0.09372219079183886,7.810771330854978,3.883491998045428,6.129890161021003
0.8,6.046478675846902,-0.13125087238694988,8.21524511290729,4.617341803618939,6.836420379272297
0.81,5.726563317837381,-0.13794892990415075,8.206937694493547,4.626140539174561,6.612189893473312
0.72,8.512854047399006,-0.005442165718267944,14.64762646976144,6.746528090321707,9.062450851490143
0.71,8.796155664030492,-0.0019135323716259478,14.653637282155922,6.746387851941526,9.67838493963798
0.88,3.6394547030774813,-0.1388938330444649,5.93579586421203,2.846569262587605,4.828859179016785
0.84,4.8424169792647715,-0.0913532746939607,7.367924194884797,2.990500208304047,5.960903227915826
0.14,27.46543627423423,16.987342170462835,45.53666392522544,24.896369517627296,28.938979289245598
0.09,30.00525468080912,25.66098778735037,46.938817718149835,28.580260913956877,30.986144738105978
0.93,2.156755384465063,-0.06223402671907685,4.375452802550964,1.8108826858032876,3.346355746500543
0.4,18.031050669112826,10.722557664033122,39.677797491191,16.0823037828851,19.337705239934536
0.86,4.221120172230084,-0.11639516259981075,6.486255874560042,3.006768122040216,4.819910330309884
0.6,12.005764519103366,-0.013216068760293354,39.53728770559709,9.098073097796945,13.036415564137545
0.87,3.9734784764132574,-0.11351454097108604,5.935966747181693,2.841650271739974,4.822315836839513
0.67,9.943556167936897,-0.0049806007269257435,18.64724627135663,7.555626444484755,10.422683525891946
0.56,13.231057215944347,-0.06260311021269871,38.983610265692946,10.086517232751435,14.035101532597059
0.5,15.01248251834501,-0.016885037425991456,39.34295528804382,12.557264121937273,16.16919241073836
0.7,9.057915844200233,-0.002540253613036114,14.65360568805071,6.87843999974189,9.678422953733953
0.31,20.86301934219454,10.726574180832387,39.11579888053659,19.170926931347346,22.298213719101724
0.49,15.318287752292,-0.04329421846287751,39.51045168243812,12.554963821882433,16.431210193015566
0.53,14.177365373657503,-0.014387534464102458,39.52022941413118,10.443846915200176,16.16946511712861
0.55,13.50083668078621,-0.06739093613598968,39.06337119690563,10.295941574559858,14.597360966886038
0.97,0.9511567382531746,-0.03925841959385434,4.372953037821844,0.629236698289791,0.7904638998551017
0.19,25.149283346450222,10.612246705842631,41.154208060883256,22.70223097221956,27.663154649939585
0.79,6.361715538978544,-0.056603454364156924,10.248150662119624,5.023282836991312,6.8300667294600474
0.54,13.840479154659787,-0.013272380220723079,39.284716369785805,10.301342234836536,14.59963332521049
0.82,5.487061414600088,-0.10572683668621785,7.81760671475339,4.615614816199488,6.609871482420367
0.85,4.577549131745258,-0.053101063158247364,7.158994311199888,2.982447973427965,5.957967907399569
0.13,27.95989753897687,16.936990807909957,45.37998724852555,26.13192772773819,28.957398877782197
0.42,17.40782441855376,0.112080382149216,39.9843769392359,16.07892093368491,18.61598786049771
0.58,12.614581155090248,-0.009517764309263654,39.20324560827413,9.556019422438002,13.278602891055
0.3,21.18440630494666,10.731714430238071,39.154670139728815,19.709330568194773,22.298988726540188
0.59,12.321191321794442,-0.018895634015915874,39.21669389800153,9.290872046361958,13.03815401513675
0.36,19.28813327311459,10.705983963539623,38.57410969760963,17.293884076570077,21.06976382493575
0.41,17.765607135710788,0.041152869083145305,39.94568326325695,16.081603700979535,18.977740880370856
0.63,11.105715815516914,-0.07869476738421888,39.16209835961965,8.639353937225447,11.947597839711733
0.15,26.979521080793653,16.94962753825729,45.32788372965046,23.907553017634783,28.962296779917953
0.43,17.158360610678,0.04062385632015619,39.93127240992722,14.68256127837726,18.365084727883776
0.12,28.452639004623833,16.923541938668038,45.793329985969464,26.668861286819407,29.645818109144617
0.62,11.450382650122263,-0.08137959715202925,39.338443534131486,8.85840879999089,12.720664323586103
0.57,12.909569533177025,-0.009636019346611846,39.09248827769568,9.924386002224269,13.689319892151515
0.61,11.722236126061423,-0.011083422222023742,39.51008413240366,8.861887426206009,12.712934130097288
0.11,28.903889063308583,16.92115630704334,45.39866218688863,27.36350435722222,30.019687475641508
0.65,10.560234365770208,-0.010274225162357098,39.01255187179299,8.565875789576507,10.570901135156916
0.51,14.708938788646806,-0.03054919913832066,39.52716827386368,12.555159665673008,16.17555722343415
0.69,9.372717770383748,-0.060077354262102034,18.95699800838784,7.13175942108528,9.985363658397201
