P,num_trading_agents_SM
0.03,32
0.04,40
0.35,314
0.05,50
0.01,11
0.06,58
0.37,329
0.45,367
0.07,70
0.02,21
0.46,372
0.24,217
0.2,183
0.21,190
0.22,200
0.26,234
0.64,368
0.34,307
0.23,207
0.39,344
0.17,158
0.25,226
0.29,267
0.66,354
0.33,298
0.38,335
0.32,290
0.28,257
0.76,287
0.44,364
0.47,383
0.48,383
0.08,78
0.16,149
0.18,167
0.75,292
0.27,246
0.68,345
0.89,145
0.98,28
0.99,16
0.78,271
0.96,56
0.74,300
0.91,123
0.94,82
0.9,134
0.95,71
0.1,96
0.92,110
0.73,312
0.77,280
0.52,397
0.83,220
0.8,254
0.72,317
0.81,242
0.71,321
0.88,159
0.84,205
0.14,133
0.09,88
0.93,96
0.4,345
0.86,184
0.6,384
0.87,171
0.67,346
0.56,405
0.5,397
0.7,332
0.31,283
0.49,389
0.53,398
0.55,404
0.97,43
0.19,175
0.79,260
0.54,401
0.82,232
0.85,195
0.13,125
0.42,354
0.58,400
0.3,276
0.59,393
0.36,322
0.41,349
0.63,373
0.15,139
0.43,359
0.12,114
0.62,376
0.57,404
0.61,378
0.11,104
0.65,364
0.51,398
0.69,338
