P,num_trading_agents_BM
0.01,8
0.02,18
0.04,30
0.05,38
0.03,23
0.06,46
0.07,49
0.09,62
0.1,69
0.11,73
0.12,77
0.13,83
0.08,52
0.14,87
0.15,88
0.16,100
0.17,103
0.18,109
0.19,106
0.2,115
0.22,117
0.21,112
0.24,127
0.23,119
0.25,128
0.26,135
0.27,130
0.29,135
0.28,138
0.3,149
0.31,148
0.32,150
0.33,151
0.34,150
0.35,153
0.36,162
0.37,163
0.38,166
0.39,171
0.4,176
0.41,172
0.42,180
0.43,174
0.45,181
0.44,177
0.46,178
0.48,179
0.47,178
0.49,173
0.52,179
0.51,174
0.54,193
0.5,178
0.57,182
0.56,184
0.53,187
0.6,179
0.59,184
0.58,181
0.68,161
0.62,173
0.64,170
0.66,159
0.65,170
0.98,10
0.67,161
0.81,119
0.96,25
0.69,158
0.86,92
0.97,17
0.85,96
0.7,153
0.01,8
0.88,77
0.02,17
0.93,47
0.99,5
0.74,146
0.77,142
0.03,24
0.79,128
0.95,29
0.89,67
0.61,176
0.92,53
0.04,30
0.73,145
0.91,60
0.82,110
0.84,98
0.05,38
0.83,101
0.06,43
0.07,48
0.87,86
0.55,175
0.72,151
0.08,54
0.1,69
0.78,139
0.94,37
0.11,74
0.14,85
0.13,85
0.8,126
0.9,65
0.63,179
0.15,93
0.09,62
0.16,101
0.18,107
0.19,112
0.24,121
0.23,122
0.12,79
0.21,110
0.76,142
0.71,152
0.29,143
0.75,137
0.22,118
0.3,153
0.32,153
0.33,150
0.17,102
0.36,161
0.28,144
0.35,150
0.42,178
0.31,149
0.46,178
0.2,116
0.25,129
0.47,182
0.54,183
0.55,181
0.7,149
0.72,145
0.68,159
0.26,136
0.67,164
0.98,10
0.27,134
0.95,29
0.63,174
0.89,69
0.75,141
0.78,140
0.57,183
0.6,179
0.94,38
0.88,75
0.02,18
0.9,65
0.8,123
0.76,142
0.85,92
0.96,25
0.84,98
0.83,101
0.73,147
0.01,9
0.05,37
0.91,60
0.99,5
0.03,23
0.04,31
0.97,18
0.87,85
0.71,152
0.49,174
0.37,167
0.08,53
0.34,153
0.44,179
0.81,118
0.09,60
0.93,45
0.07,48
0.74,146
0.82,111
0.43,177
0.69,160
0.11,73
0.12,78
0.1,67
0.92,52
0.06,44
0.13,85
0.38,163
0.53,183
0.65,172
0.15,92
0.4,175
0.41,173
0.48,178
0.16,99
0.39,171
0.5,183
0.45,177
0.17,104
0.86,88
0.64,171
0.52,181
0.51,174
0.56,185
0.19,110
0.66,163
0.14,87
0.58,176
0.62,174
0.26,135
0.77,142
0.59,183
0.27,131
0.22,117
0.2,115
0.21,114
0.23,123
0.79,132
0.29,146
0.28,138
0.3,156
0.61,180
0.24,124
0.38,166
0.4,175
0.32,149
0.18,108
0.33,149
0.36,162
0.43,179
0.45,184
0.41,175
0.34,150
0.47,182
0.54,183
0.51,174
0.56,186
0.88,79
0.52,176
0.84,102
0.92,53
0.98,10
0.55,177
0.99,5
0.59,177
0.87,85
0.46,182
0.25,129
0.01,9
0.8,125
0.97,17
0.96,26
0.02,16
0.31,149
0.89,68
0.58,180
0.9,64
0.93,46
0.95,27
0.94,39
0.03,24
0.79,131
0.53,185
0.85,95
0.05,38
0.06,44
0.39,169
0.04,32
0.35,154
0.61,172
0.77,143
0.82,110
0.91,60
0.07,50
0.08,51
0.42,179
0.75,143
0.78,141
0.1,70
0.73,143
0.12,78
0.49,172
0.11,74
0.66,160
0.74,140
0.62,170
0.37,165
0.14,85
0.09,63
0.15,92
0.48,174
0.83,100
0.86,91
0.44,185
0.18,108
0.5,177
0.81,119
0.7,151
0.17,108
0.64,166
0.13,83
0.2,113
0.76,145
0.22,113
0.57,180
0.23,119
0.69,156
0.72,148
0.21,115
