P,TV0
0.0,0.0
0.09,6990.278501337535
0.1,7655.320680173696
0.21,16230.513140013025
0.26,20565.5758213751
0.15,11675.371186277805
0.06,4525.487500617903
0.11,8438.699837060254
0.14,10877.630985445016
0.16,12346.154350502224
0.04,2939.3701688590595
0.2,15650.058632395094
0.48,38431.6891950767
0.49,39419.507565828404
0.45,36238.97202488397
0.02,1559.887174200911
0.33,26519.44057928628
0.5,40330.45863741124
0.42,33848.01030895756
0.51,41091.1151247107
0.07,5316.98301457713
0.08,6309.621284234865
0.19,14784.858997886007
0.22,17282.320399302902
0.01,675.8928622488243
0.4,32257.25075147921
0.41,33037.516789638124
0.47,37733.68617206849
0.43,34580.50877767825
0.27,21430.7969351481
0.52,41940.87387197978
0.18,14074.774641273796
0.35,28240.48571933953
0.44,35342.492667009894
0.38,30731.924433337175
0.24,18939.049009709084
0.6,48288.382508254945
0.03,2122.1022107440567
0.29,23269.965115667
0.12,9085.82989379247
0.37,29816.261561901152
0.23,17986.22183042644
0.3,24056.458639856057
0.32,25557.0192595466
0.36,28989.711019562506
0.05,3685.175887804088
0.34,27285.254169666434
0.61,49139.556872156696
0.62,49863.397168821684
0.63,50449.63257081958
0.67,53940.10704228393
0.46,36896.354392648165
0.84,67486.22734673283
0.66,53180.41645587508
0.57,46062.65432269603
0.56,45104.87500855858
0.68,54684.81232044005
0.69,55459.93174930287
1.0,81013.24194184544
0.8,64236.94328774741
0.71,57209.513115717724
0.78,62548.826604414804
0.59,47439.316391141045
0.53,42553.29136616568
0.74,59539.62139084145
0.54,43638.79731216058
0.64,51430.73700301333
0.55,44381.53374403135
0.86,69098.80177605653
0.75,60154.74219287967
0.65,52323.51940833873
0.79,63459.38087526081
0.25,19768.384378109862
0.81,64765.633788977066
0.83,66588.82324304839
0.82,65898.23872861973
0.13,9946.216158068804
0.17,13148.537065182602
0.77,61775.17816612262
0.87,69899.62006269116
0.76,61042.89114515295
0.88,70599.67292507135
0.95,76592.88295644773
0.9,72415.90689400483
0.99,80138.33769196982
0.72,57898.80276875461
0.93,75096.04778656355
0.58,46678.716292597026
0.39,31403.775792029606
0.96,77495.12877057093
0.73,58748.921875955224
0.92,74280.8489383398
0.85,68218.3565601387
0.98,79182.28714730847
0.97,78396.49479305357
0.31,24750.26961504943
0.28,22301.891516460113
0.94,75818.44949374865
0.89,71572.54164696767
0.7,56239.4459278086
0.91,73364.10038431233
