Central Planning Mean,Smart Market Mean ,Bilateral Market Mean
-2.8025940595013964e-09,0.0,0.0
1151.913368710541,731.8399556929845,307.6188990970218
1923.2567767481057,1084.378973869601,489.33113158051236
2933.9542321668355,1299.231432905343,742.0369297140486
3804.416542848498,1912.9703694127056,964.2667640024828
4690.674946890577,2384.279675726937,1133.5462814152422
5514.035405352544,2556.8221298399085,1320.2605304440387
6256.922888011374,2873.5901914092647,1514.3220699256167
6944.769913451923,3213.751932427527,1710.636893060776
7543.225551214286,3423.9874868504594,1831.536790641398
8244.430171824919,3523.2785549471837,2045.9220922135594
8692.70668715029,3913.0169883549424,2169.1738647184607
9201.236059869985,4017.4119181201277,2308.072301216083
9582.273122173381,4160.369382985855,2405.849920119073
10050.868136977306,4440.8463460155,2529.4251708342454
10464.104126637507,4546.609806877517,2634.6401212132973
10843.589537864798,4629.716937460593,2750.920845934321
11247.604821819832,4840.1961273097095,2868.644949890688
11888.184803223492,5030.959333875748,3013.2428142290673
12478.851309205194,5560.220574029037,3287.586433180263
12733.732961369707,5698.469227634716,3303.997182553185
12954.176610085815,5755.897666109668,3367.2023488842206
13288.234157939332,5883.610333324017,3402.6130144813646
13662.262688680457,6159.30186104486,3544.075665966604
13990.097170050398,6402.110369683494,3751.227721361911
14287.823851089744,6446.939630672292,3789.4206876679445
14686.799601933662,6544.196287276569,4005.965946922636
14937.345092368705,6642.614327117037,4105.101475827307
15060.475671458866,6637.873593212291,4142.543260832124
15273.696841304773,6715.877817093075,4194.904747345425
15527.437053920767,6810.824086748387,4283.188413681655
15775.455600730997,6922.8979108493695,4396.027486529953
16129.908592815425,7081.627283788563,4564.406681573162
16363.759685833858,7080.512787529457,4640.862071383939
16385.719164214384,7014.396535756961,4631.074486656387
16297.909599372142,6756.924610956383,4555.756050454386
16641.23464415732,6908.868489406639,4639.217881150256
16996.914761062973,7080.071211301216,4809.396064759237
17121.463806598687,7024.484650531205,4902.349717464496
17169.119956817045,7017.2689561417865,4919.445356377465
17360.157596818637,7100.796364220623,4987.912485242643
17570.89332571749,7362.985589677992,5125.542863126365
17645.256368069076,7430.732441030741,5086.108752621827
17492.01045146231,7351.547698394657,5023.036296068685
17724.909529468372,7457.377722784651,5135.903922572163
17616.3144271446,7427.745009306585,5026.466279768731
17625.53029593002,7395.941192916958,4945.300485401106
17710.879509133512,7452.794765306688,4983.185072913904
17675.67290744916,7426.273761495024,5066.111096523221
17582.262854700246,7362.477872373645,4976.0514340381515
17573.060394072294,7359.6597045057715,4930.285287363868
17748.940764577623,7347.810523429303,5158.970139509937
17582.539665306453,7210.995554847141,4982.637553506253
17588.482669290894,7275.3208686644575,5042.2451059037285
17398.029706729005,7155.444872506094,4927.067574622513
17293.63018120571,7063.671813666886,4901.170065233229
17168.32439455036,7022.630073037188,4851.59293000651
16984.402407055113,6926.2635504959835,4852.066371307259
16768.734099157922,7098.52396076743,4785.110420343609
16526.41461824623,6913.5229465319935,4721.338819737026
16314.636307719342,6789.382028826207,4605.201983513137
16178.632230661235,6704.68816866487,4537.449855857306
16038.055243973562,6688.4937016581825,4540.479240993386
16143.328865386107,6791.390550756303,4532.801465893556
15850.295648296034,6768.790277365602,4465.505057172922
15635.525347952003,6494.622730629206,4408.586100295401
15479.050038081956,6428.218855255342,4398.300959921584
15150.79886998718,6246.542395081466,4309.225295256359
14892.330954842553,6138.256264381314,4230.4806198620345
14606.994436067109,6016.434573748491,4159.745540946815
14318.02225193704,5984.722383082641,4183.153413058247
14034.512660188928,5920.398106883258,4018.345016545293
13954.366229618548,5883.5229212595,3973.6540662206507
13585.786135382947,5818.724953256511,3929.481659071472
13216.775857482844,5641.837626835055,3770.6413934869224
12585.663020568776,5377.3214797348555,3608.8766448330657
12029.300096559196,5109.199712904818,3429.7223629000746
11284.877219437407,4746.980187076908,3062.6820830008364
11021.872385290335,4616.639379256849,2985.508759457786
10632.541636481756,4475.524212875134,2906.4112088822685
10571.300959281718,4484.323059131493,2891.0246665288896
10162.743842125989,4367.278527594826,2830.580773850475
9818.120703139879,4201.690352939666,2738.1749412913214
9349.956432438397,4095.496066466818,2683.1099135669174
8903.576818664802,3975.021981853235,2582.082115369388
8672.060069155554,3912.779791809182,2592.084278602686
8156.747792015975,3637.4918248990725,2373.9338297611475
7374.898034200108,3307.8214920068567,2189.0670407443154
6712.030524390926,2964.530872184361,1949.944279722997
6284.873243006523,2801.8157795746083,1836.9125890174046
5913.0675325644215,2649.035545384104,1756.996334241882
5569.6744394636025,2430.647772112163,1663.3737086919177
4951.637356670485,2159.7306127519696,1475.9478026387683
4425.212706566981,1960.1598230700765,1318.128081908988
3694.318302938925,1660.0921374601603,1027.3426881038374
2983.9497110414627,1383.3183830831404,877.9802618634266
2261.30711717868,1023.2575352067506,641.2457616279352
1646.9566892890473,735.3217927165242,470.01911232175684
1058.8904647873542,454.0785640006361,316.91039030271975
710.8435195035694,311.8863099205337,200.78048208355816
-6.899467862808706e-05,0.0,0.0
