P,num_trading_agents_BM
0.03,32
0.05,52
0.01,12
0.04,43
0.02,22
0.06,65
0.07,78
0.08,87
0.09,99
0.11,119
0.13,135
0.12,130
0.14,153
0.1,112
0.16,175
0.15,166
0.18,197
0.19,205
0.17,182
0.21,224
0.2,214
0.22,229
0.23,244
0.25,260
0.27,277
0.26,270
0.24,259
0.28,288
0.29,295
0.31,322
0.32,325
0.3,313
0.33,344
0.34,346
0.36,357
0.37,368
0.35,349
0.38,376
0.39,371
0.4,393
0.41,400
0.42,408
0.46,409
0.44,410
0.45,415
0.43,407
0.48,421
0.47,413
0.5,408
0.51,407
0.49,425
0.54,424
0.52,420
0.55,399
0.53,413
0.56,409
0.01,11
0.02,24
0.03,34
0.57,424
0.04,47
0.58,416
0.05,52
0.07,76
0.6,399
0.61,394
0.59,391
0.98,25
0.06,63
0.99,14
0.92,86
0.62,386
0.08,84
0.09,98
0.63,382
0.97,36
0.85,169
0.88,140
0.65,365
0.67,350
0.68,344
0.64,371
0.79,221
0.8,220
0.83,185
0.11,116
0.66,367
0.71,305
0.86,158
0.72,308
0.16,168
0.14,154
0.82,197
0.1,112
0.13,141
0.95,63
0.89,121
0.73,290
0.12,129
0.91,99
0.94,76
0.17,192
0.96,47
0.18,196
0.19,202
0.7,320
0.93,77
0.9,113
0.75,267
0.21,222
0.22,233
0.15,167
0.2,205
0.24,257
0.23,247
0.84,179
0.25,257
0.87,143
0.26,266
0.3,305
0.31,325
0.27,285
0.78,236
0.81,207
0.69,328
0.74,284
0.32,328
0.77,241
0.29,300
0.37,375
0.39,374
0.36,362
0.35,359
0.41,395
0.4,384
0.34,343
0.28,293
0.42,401
0.45,411
0.76,258
0.46,410
0.47,424
0.33,333
0.49,422
0.38,376
0.48,419
0.43,399
0.52,419
0.55,426
0.01,13
0.88,140
0.02,22
0.06,62
0.56,412
0.98,26
0.44,412
0.6,395
0.04,44
0.85,172
0.69,341
0.87,146
0.99,16
0.05,56
0.83,187
0.74,290
0.68,340
0.53,410
0.08,87
0.03,32
0.81,205
0.97,36
0.76,264
0.07,77
0.09,94
0.84,177
0.8,214
0.78,235
0.11,115
0.51,400
0.58,414
0.54,416
0.89,126
0.77,246
0.66,350
0.14,151
0.13,140
0.92,86
0.12,126
0.75,262
0.1,113
0.91,102
0.95,60
0.63,382
0.94,72
0.86,160
0.61,385
0.57,420
0.93,79
0.79,229
0.62,383
0.7,324
0.65,357
0.17,183
0.73,291
0.96,51
0.5,420
0.9,117
0.82,201
0.2,214
0.15,164
0.16,175
0.64,378
0.59,402
0.72,307
0.19,209
0.67,356
0.71,313
0.21,219
0.22,231
0.18,192
0.26,273
0.27,281
0.29,304
0.32,333
0.34,351
0.31,319
0.23,248
0.38,366
0.24,254
0.25,253
0.41,396
0.46,411
0.28,305
0.42,399
0.4,381
0.47,425
0.49,415
0.51,415
0.53,420
0.35,359
0.45,405
0.57,414
0.6,401
0.74,282
0.68,345
0.36,358
0.72,304
0.33,337
0.78,237
0.7,325
0.92,85
0.85,173
0.3,310
0.9,111
0.37,374
0.97,38
0.43,411
0.99,14
0.77,247
0.76,253
0.71,314
0.96,48
0.04,44
0.98,24
0.94,70
0.61,392
0.01,10
0.05,56
0.44,411
0.39,383
0.59,402
0.03,34
0.79,230
0.52,420
0.02,23
0.84,185
0.55,419
0.93,75
0.5,415
0.08,91
0.15,168
0.58,414
0.82,197
0.09,99
0.06,65
0.95,61
0.87,143
0.07,76
0.1,110
0.89,124
0.11,115
0.17,184
0.64,382
0.81,214
0.2,212
0.69,332
0.13,142
0.88,135
0.12,133
0.19,198
0.54,419
0.67,353
0.73,297
0.14,158
0.16,176
0.62,391
0.56,425
0.21,222
0.66,360
0.18,192
0.23,245
0.91,106
0.83,195
0.24,250
0.25,265
0.27,285
0.8,219
0.65,373
0.48,410
0.28,286
0.26,270
0.34,341
0.35,355
0.33,334
0.75,273
0.29,301
0.3,313
0.36,359
0.86,162
0.4,394
0.31,325
0.32,327
0.63,384
0.22,232
0.37,368
0.39,383
0.42,396
0.43,409
0.38,371
0.46,421
0.44,401
0.48,426
0.49,413
0.5,419
0.51,412
0.52,413
0.03,33
0.41,403
0.53,420
0.06,63
0.04,43
0.05,56
0.07,73
0.01,12
0.09,101
0.45,412
0.99,13
0.79,224
0.95,62
0.02,22
0.57,410
0.11,122
0.96,45
0.98,24
0.93,80
0.47,425
0.1,111
0.72,294
0.63,380
0.77,245
0.64,371
0.75,266
0.08,87
0.74,284
0.78,239
0.97,37
0.59,408
0.69,332
0.58,412
0.71,309
0.76,269
0.92,88
0.68,335
0.15,164
0.67,355
0.13,140
0.73,296
0.14,159
0.12,132
0.54,414
0.17,185
0.61,388
0.55,417
0.62,389
0.66,349
0.83,193
0.56,423
0.16,169
0.82,198
0.7,322
0.22,234
0.23,246
0.65,363
0.18,202
0.25,262
0.19,202
0.6,396
0.88,142
0.91,99
0.2,210
0.94,71
0.8,215
0.21,221
0.86,156
0.89,127
0.33,343
0.32,334
0.24,258
0.36,373
0.34,346
0.9,117
0.37,368
0.85,169
0.26,273
0.87,146
0.28,290
0.29,296
0.39,382
0.84,183
0.27,284
0.41,396
0.43,413
0.3,307
0.45,416
0.47,418
0.49,416
0.48,412
0.31,317
0.52,408
0.54,428
0.55,417
0.4,391
0.59,419
0.53,420
0.81,214
0.57,405
0.58,410
0.04,44
0.02,20
0.01,13
0.35,355
0.51,408
0.67,352
0.95,60
0.5,420
0.07,76
0.05,52
0.03,36
0.06,63
0.09,100
0.38,380
0.61,392
0.11,117
0.99,14
0.08,89
0.98,27
0.92,89
0.8,216
0.93,79
0.97,33
0.72,296
0.1,108
0.65,367
0.89,125
0.68,343
0.12,133
0.69,333
0.82,193
0.17,186
0.15,157
0.42,408
0.13,141
0.96,48
0.16,175
0.87,146
0.62,392
0.78,239
0.94,68
0.88,139
0.44,412
0.14,149
0.46,412
0.91,103
0.7,320
0.18,197
0.2,212
0.56,420
0.19,203
0.71,319
0.79,230
0.21,222
0.9,110
0.84,179
0.22,238
0.23,240
0.76,257
0.75,267
0.24,252
0.73,283
0.25,258
0.77,250
0.83,188
0.26,268
0.63,384
0.81,211
0.86,159
0.64,370
0.6,402
0.85,165
0.74,286
0.27,281
0.66,370
0.28,290
0.3,315
0.31,322
0.34,338
0.29,304
0.33,333
0.35,358
0.32,317
0.37,368
0.36,364
0.38,371
0.39,390
0.4,388
0.43,408
0.42,403
0.45,417
0.41,396
0.02,22
0.97,39
0.98,25
0.46,417
0.93,81
0.5,415
0.04,49
0.76,261
0.06,60
0.01,10
0.99,14
0.89,125
0.6,396
0.86,163
0.03,34
0.92,88
0.85,171
0.07,75
0.95,56
0.61,396
0.96,49
0.52,408
0.55,423
0.63,376
0.1,115
0.11,117
0.05,51
0.08,86
0.09,95
0.72,302
0.94,66
0.13,140
0.71,308
0.48,422
0.12,133
0.91,101
0.16,173
0.57,398
0.17,184
0.9,113
0.15,162
0.51,420
0.18,191
0.49,416
0.62,390
0.2,211
0.84,184
0.83,190
0.78,240
0.14,153
0.65,354
0.81,211
0.24,252
