P,lagrange_multiplier_theta_mean,lagrange_multiplier_theta_min,lagrange_multiplier_theta_max,lagrange_multiplier_theta_25th_percentile,lagrange_multiplier_theta_75th_percentile
0.0,40.06827017417091,39.95959614212338,40.200571089947495,40.044437941261506,40.090059670869266
0.01,37.28040806332854,34.558541155247724,43.113241744704396,34.71208844297466,39.6109297778375
0.26,22.850452264987158,-0.02000699079826873,41.34767985087225,20.226148051171485,24.956734472664394
0.14,28.126526701675715,-0.03743188162147959,45.20823897979301,24.138494258523227,30.68540578956793
0.25,23.166798293513,-0.021173905059665543,41.40433475810819,20.50996248944587,25.19487167148
0.27,22.490548717180705,-0.019207463910642986,41.30159612123515,20.0042896273884,23.812613458383012
0.05,33.05631577708127,19.94043730756261,45.12231702406059,30.239668846877578,36.671741238998294
0.03,34.56857754940919,19.8875096802254,44.10375000511628,32.0348878850273,36.858753267671986
0.06,32.32554004479207,19.96658997712841,46.24466460874913,29.56611253978481,36.33317875489054
0.6,12.090940101961891,-0.005544900588194679,30.438499797842947,9.320927002160937,13.794764299495506
0.16,26.934514655234572,-0.02585718120618452,43.96222880511034,23.33955381096629,29.407202340865112
0.08,31.029445820307302,-0.06708095405008407,44.04328261045657,28.355625295418996,33.63745218516665
0.04,33.75885108172552,19.93153976160581,45.2474982076572,31.0745143638853,36.80009987121764
0.58,12.71238813526509,-0.006322073259500627,30.446682249838748,9.722195165030147,14.718030018578187
0.12,29.308587233030718,-0.039834691578853665,45.159963148031395,24.818051591158138,34.11149165975012
0.1,30.132008972522634,-0.04846770831614933,44.644995052201836,26.273577812247552,33.94555719502199
0.09,30.570957284840784,-0.0560203211621193,44.32992381507105,27.740440867914494,33.77643490273487
0.11,29.761301463146097,-0.04364433523673483,44.81866105877328,25.75239896986595,34.0607512185717
0.56,13.318508279506219,-0.008076428888783127,30.45307785321466,10.43631937523419,15.410246170678544
0.55,13.652238875881794,-0.00863447487114577,30.464550453990654,10.947834506909084,15.410145568965133
0.52,14.511937070739952,-0.010071878953311852,30.462182032428835,12.052593196011433,16.655650805839006
0.59,12.403365575879882,-0.006091185868490001,30.433511588786512,9.320739474692488,14.50967395573682
0.13,28.83792046197617,-0.034932577197707815,45.406584010822186,24.576493699121013,33.78423031201022
0.18,26.048711627132914,-0.021809437067354054,43.766718941815625,22.8633115987813,28.560346115469407
0.7,9.058275265353156,0.0016998580144900188,30.010162370772576,6.477823969349019,12.248466204566089
0.19,25.61905598251209,-0.020299172982877423,43.53482123252435,22.58580143161553,28.560076478402298
0.07,31.713879583147442,-0.07895016822907408,43.55824695680197,29.136542063652165,36.33664123570259
0.71,8.807437181548622,-0.0066633429956333146,30.002449278200828,6.29729959689514,11.93655827112021
0.22,24.48071849462863,-0.016582789697153544,43.28942067298135,21.120828470292132,27.04989543094158
0.62,11.474731171462441,-0.00580008582085334,30.399312149872973,8.495357024194126,13.794700840767012
0.47,16.134553344141246,-0.008778175520358644,36.55235713986126,12.80890251059419,18.73783098902741
0.72,8.486099872535418,-0.0011525461874697385,30.02043174934135,6.1232723932984205,10.977655894998092
0.46,16.475637144568953,-0.009259434882206818,36.532139699991916,13.601122024420361,18.73761029314574
0.49,15.501499852452417,-0.008237243852851961,36.5168572728517,12.268425783190928,16.657423833331297
0.54,13.923101723728056,-0.009073963320835432,30.448258804059897,11.238177464359747,15.409984105707558
0.15,27.5073406844944,-0.028971840818009298,43.98262645710473,23.97960787865697,30.6847921814582
0.51,14.840614235253238,0.0006954023469294413,31.29689784745225,12.057746792700057,16.656514276988208
0.45,16.776743036225895,-0.010197804527525278,36.513004739311825,13.959546854001374,18.73762726941097
0.57,13.018628786343442,-0.006847848318333405,30.44834616528674,9.88558227336988,15.410301189781908
0.76,7.294150850879,-0.0119313634560001,29.95071757055417,5.364052646728501,10.047077621064378
0.63,11.226356221564924,-0.005990662419186776,30.392317891624636,8.240630673025457,12.432326734241471
0.74,7.897204502072267,-0.013751815513491472,29.933416382391492,5.738866217061338,10.836871194876998
1.0,7.552528926234175e-06,-0.0008270747414262611,0.000663502092775737,-0.0001783239282669814,0.00019002925062516275
0.66,10.276775092254145,-0.010304510890156493,30.037084936257116,7.287746561312989,12.428854008907141
0.99,0.31730184270865136,0.294423121801073,0.3494517220930635,0.30405106800348425,0.3343236294540306
0.02,35.937922058787706,19.963657652927044,43.71612131935025,33.34363605244542,37.83004097954507
0.95,1.5421319935748359,-0.3947838356898725,13.156288824651497,1.4034340187300107,1.4034340336843085
0.68,9.6582394913827,-0.008713706360421014,30.034034509283714,7.067362918381383,12.429171886738857
0.69,9.358193936734732,-0.007444304615864539,30.02442980719828,6.927674647270393,12.24801242946606
0.65,10.581875137152819,0.0037311282485976704,30.630577670707684,7.545891940394913,12.440731434340773
0.64,10.938926439244163,-0.0054036144301292666,30.394866898332616,8.031174324594286,12.432572383775911
0.53,14.22466534268186,-0.00899116819988599,30.462691079698683,11.882651793541203,15.633986508587498
0.48,15.816243842638102,-0.008781669019112925,36.522678718613925,12.638711709549282,18.738125934165115
0.24,23.705378382442273,-0.01652458105977317,42.7954959006625,20.51043042549232,25.612942269813047
0.29,21.785876043779783,-0.016740362193026215,40.97219820528173,19.18752016326995,23.812997635161423
0.81,5.781867462715731,-0.012663096532925522,30.029756136527666,4.378350635863598,6.779336405662992
0.79,6.392870945211916,-0.015642795449151592,30.032796483295108,4.80582133877688,9.025726162467935
0.98,0.6102286213430389,-0.03397362395504222,10.402853466076774,0.6534298790305728,0.6534304862707179
0.82,5.519004108451773,-0.011686839343258093,30.028311031854674,4.031797557635059,6.779335752687161
0.43,17.376652119637193,-0.009948340221793472,37.89525321061665,14.338304624511913,20.30296536583686
0.8,6.096270496629697,-0.014677376352615568,30.0299742730709,4.698572302847991,7.914744002741729
0.28,22.072058593584487,-0.017696120828706086,41.02067056155121,19.5763133353354,23.81276885142889
0.37,19.33119118787862,-0.03442497770088693,41.43417277861222,15.888809177841841,22.368625906341016
0.35,19.956759263255552,-0.036230279355976336,41.602019960910354,17.061692546663426,22.473560879165987
0.38,18.977504261778893,-0.031112304016520653,41.53342594119126,15.749018230832917,21.55130555563384
0.2,25.22072068100604,-0.019065176516875226,43.58084588163727,22.19442241143966,27.049673529239126
0.42,17.754649723156078,-0.009813437438644712,38.016192318373726,14.656312265295627,20.600872201341375
0.75,7.589347403257103,-0.016630173957694616,29.940082516706525,5.526139012325059,10.790134073591625
0.36,19.612524108342047,-0.03543945906061552,41.64162879691645,16.558989288384943,22.367854474142938
0.84,4.8863253201741665,-0.008439257680205259,30.02654566207765,3.156311175944218,6.77949451224216
0.21,24.849387840665447,-0.018037482413046035,43.409039420072695,21.68655240040116,27.04978498810285
0.94,1.814403854676224,0.00012445585730236353,14.511240667368112,1.561145875423599,1.6732202911078087
0.85,4.570433040288819,-0.01075251725204307,30.021891583988122,3.012015770212934,6.304746687936277
0.77,7.046993316648463,-0.013244979737542906,29.948270965691272,5.119955722053344,9.170916964788656
0.33,20.56265329191616,-0.040072269345653666,41.603384520726394,17.577821403239586,23.425973584996875
0.96,1.238098005421783,0.0023924969611077707,10.249099749027195,1.1893089345983965,1.2675014230834352
0.73,8.208160155017543,-0.01849320192063786,29.921797090956353,5.915860673703261,10.974271444591311
0.39,18.671379343624956,-0.031830893935460125,41.3722661471245,15.586045381922919,21.165907931219838
0.61,11.78916250506126,-0.005613273218791903,30.408731752626828,8.912115169981828,13.794567077337796
0.83,5.201493663861242,-0.010017860139953427,30.025839918890764,3.6864916506192307,6.779488644834077
0.87,4.029826104280949,-0.005493880031650633,23.33215662273654,2.5137457382463095,6.1875267296312995
0.97,0.9358247189061351,0.0022123527235308194,10.235026332393247,0.9107095103046939,0.9107095157243439
0.92,2.467842822937864,-0.0003747091115680057,14.538105156979748,1.87876055317659,2.8894916558903665
0.23,24.090855988428316,-0.017474469766852962,42.90561392521667,20.754376711015755,26.813168484909006
0.89,3.348314239755413,-0.0017168309767638945,17.7697003408484,2.220168421531475,4.65706326911399
0.67,9.97401900092673,-0.01128682607874687,30.03206601768627,7.0668832584095735,12.428589363399682
0.32,20.89177374056626,-0.055903222002630315,41.98226984878066,17.777327735466617,23.42852570072946
0.78,6.686120448053225,-0.020756393267836515,30.03165852868185,4.863418860379227,9.17036115397131
0.41,18.0779408962004,-0.009420439021596394,37.81803505718076,15.049748157623904,21.04468308269533
0.86,4.260423589512978,-0.006398462732418508,23.334887683120105,2.874480591076963,6.304248724522018
0.91,2.787148794033053,-0.00044585288979082094,17.75758526193487,1.9759999174367717,3.39836207990073
0.88,3.665354016002652,-0.0036098523457970266,23.325218761550698,2.2196453108180947,4.740596612528602
0.93,2.1285476739170663,0.00042955144493594943,14.526150463072236,1.8530323969849356,2.34761033758147
0.17,26.43201954807424,-0.02327891951589578,43.6193978480657,22.928788990212624,28.611165309685614
0.9,3.076184287251052,-0.0013447332003453383,17.770824005783577,1.9751604277597656,4.058276586945464
0.3,21.47444803752911,-0.06090195788980779,42.14451956405355,18.734928717253286,23.822335572163198
0.5,15.209086345912878,-0.04358640569740402,36.87597179153096,12.057043948959114,16.655917555519764
0.34,20.24383317684422,-0.037077962202261006,41.549014599207624,17.395481728522995,22.740951979773786
0.4,18.35647058058891,-0.031377644178977704,37.53588259578585,15.411502106775984,21.049467676398734
0.44,17.0682922779242,-0.04480471945468523,38.27797669067698,14.125782229925115,18.735499475208268
0.31,21.212729671683366,-0.05748667967067078,42.02647878187868,18.291413370437326,23.82312184885884
