P,TV0
0.0,0.0
0.01,612.4417998402995
0.26,20981.86106311736
0.14,11320.12851985422
0.25,20182.221929178442
0.27,21708.406859888146
0.05,3666.703425356236
0.03,2192.206956472237
0.06,4549.3006766867675
0.6,47919.61914167792
0.16,12865.797459441761
0.08,6277.713427554681
0.04,3001.290635066355
0.58,46150.67174693853
0.12,9688.370089124262
0.1,7932.4486369770875
0.09,7052.100976928574
0.11,8656.920514578003
0.56,44713.983908580456
0.55,43828.8127429488
0.52,41439.86348412733
0.59,47037.07766558913
0.13,10439.592632442125
0.18,14305.138143112828
0.7,56170.32674735662
0.19,15137.535273584042
0.07,5404.291054279328
0.71,56795.188398633305
0.22,17619.6985876385
0.62,49586.93761945206
0.47,37400.30651062939
0.72,57718.890270528194
0.46,36565.49061847685
0.49,38965.21175778299
0.54,43153.286388064516
0.15,11897.237482643312
0.51,40580.615519986844
0.45,35866.47251657378
0.57,45404.10817424268
0.76,61365.909140731776
0.63,50349.76914736246
0.74,59453.21068077902
1.0,80784.98057574395
0.66,52857.82802147487
0.99,79966.46683726214
0.02,1484.2579693080245
0.95,76540.53996789828
0.68,54610.80031228114
0.69,55390.67219655658
0.65,52048.983837463056
0.64,51035.31276204515
0.53,42229.55275106368
0.48,38266.14593867386
0.24,19214.85155189069
0.29,23270.669243203367
0.81,65124.027537002024
0.79,63586.94461808055
0.98,79163.20023945469
0.82,65907.79534398674
0.43,34441.860064451495
0.8,64360.38947717524
0.28,22604.74978110177
0.37,29719.218119313482
0.35,28014.70598062597
0.38,30511.65263643027
0.2,15824.343917174492
0.42,33588.486423366354
0.75,60439.37936474023
0.36,28915.576126079846
0.84,67606.03757868276
0.21,16663.056340778596
0.94,75812.45211298687
0.85,68414.56813383687
0.77,61936.47465464327
0.33,26476.443419788062
0.96,77287.0769986574
0.73,58553.560432860846
0.39,31213.399979452486
0.61,48716.03476727632
0.83,66701.4370595141
0.87,69834.93955558672
0.97,78200.44985663306
0.92,74138.49720330435
0.23,18297.386709027905
0.89,71704.14705069998
0.67,53748.07048604314
0.32,25729.803474735058
0.78,62823.44448537766
0.41,32696.96473901121
0.86,69210.48649724557
0.91,73250.5624292677
0.88,70877.87507561024
0.93,75023.40227242731
0.17,13578.658891594969
0.9,72427.51343557691
0.3,24031.57862942578
0.5,39764.73991285378
0.34,27295.237420291
0.4,31944.875882371696
0.44,35280.162973464816
0.31,24851.98664882542
