P,num_trading_agents_CPP
0.0,0
0.01,53
0.26,427
0.21,383
0.22,389
0.02,91
0.11,279
0.03,267
0.14,318
0.33,461
0.34,461
0.05,167
0.3,451
0.31,460
0.13,310
0.35,462
0.32,459
0.29,451
0.2,379
0.28,443
0.37,465
0.06,204
0.18,356
0.12,299
0.17,348
0.42,466
0.23,400
0.46,473
0.4,464
0.04,159
0.08,226
0.24,410
0.07,217
0.15,324
0.43,470
0.09,247
0.39,465
0.25,421
0.45,472
0.6,492
0.41,465
0.44,471
1.0,168
0.19,365
0.1,258
0.61,493
0.16,338
0.47,474
0.27,438
0.36,462
0.58,490
0.38,465
0.69,493
0.5,479
0.56,487
0.81,496
0.87,497
0.64,493
0.93,500
0.86,497
0.62,493
0.63,494
0.53,480
0.91,498
0.83,495
0.79,495
0.48,474
0.51,479
0.99,230
0.65,494
0.68,493
0.98,279
0.95,500
0.85,497
0.49,475
0.84,496
0.67,493
0.8,496
0.66,493
0.82,495
0.9,498
0.96,500
0.59,490
0.55,484
0.76,495
0.88,498
0.74,494
0.97,500
0.77,491
0.54,483
0.52,480
0.89,498
0.72,494
0.92,500
0.73,494
0.94,500
0.57,490
0.78,495
0.7,494
0.75,494
0.71,494
