P,num_trading_agents_SM
0.07,57
0.04,37
0.12,79
0.05,45
0.25,109
0.32,111
0.3,115
0.24,106
0.11,76
0.41,104
0.44,101
0.08,65
0.42,106
0.1,76
0.46,90
0.02,20
0.03,28
0.38,116
0.45,92
0.06,54
0.48,91
0.09,69
0.39,114
0.14,84
0.37,113
0.13,80
0.4,114
0.01,10
0.35,109
0.43,105
0.17,102
0.56,82
0.54,85
0.51,85
0.33,109
0.2,112
0.27,114
0.55,85
0.22,109
0.57,77
0.15,91
0.59,68
0.16,97
0.28,122
0.58,73
0.72,47
0.67,54
0.19,110
0.75,38
0.68,50
0.73,45
0.34,109
0.31,113
0.77,39
0.7,43
0.36,109
0.78,38
0.29,119
0.82,35
0.47,94
0.76,39
0.52,90
0.81,41
0.5,87
0.21,112
0.26,112
0.87,21
0.86,21
0.89,15
0.18,105
0.79,39
0.85,26
0.8,42
0.88,18
0.95,3
0.69,51
0.91,13
0.97,7
0.94,6
0.9,14
0.64,57
0.99,0
0.74,39
0.61,69
0.83,33
0.96,2
0.98,3
0.62,66
0.23,109
0.49,88
0.71,47
0.53,87
0.84,26
0.92,10
0.65,60
0.93,7
0.63,62
0.6,66
0.66,57
