P,num_trading_agents_SM
0.01,10
0.01,10
0.01,11
0.01,10
0.01,11
0.01,10
0.01,11
0.01,11
0.01,11
0.01,11
0.01,10
0.01,11
0.01,11
0.01,10
0.01,11
0.01,11
0.01,10
0.01,12
0.01,10
0.01,11
0.01,11
0.01,10
0.01,10
0.01,10
0.01,11
0.01,10
0.01,10
0.01,10
0.01,10
0.01,10
0.01,11
0.01,10
0.01,11
0.01,10
0.01,12
0.01,10
0.01,10
0.01,10
0.01,11
0.01,12
0.01,10
0.01,10
0.01,10
0.01,10
0.01,11
0.01,11
0.01,11
0.01,10
0.01,11
0.01,11
0.01,11
0.01,10
0.01,11
0.01,10
0.01,10
0.01,10
0.01,11
0.01,10
0.01,10
0.01,10
0.01,10
0.01,10
0.01,11
0.01,11
0.01,10
0.01,10
0.01,11
0.01,10
0.01,10
0.01,11
0.01,11
0.01,11
0.01,10
0.01,10
0.01,10
0.01,11
0.01,12
0.01,10
0.01,10
0.01,10
0.01,10
0.01,10
0.01,11
0.01,12
0.01,10
0.02,22
0.01,11
0.01,12
0.01,10
0.02,21
0.02,21
0.02,21
0.02,22
0.01,10
0.02,21
0.02,23
0.02,22
0.02,21
0.02,21
0.02,21
0.01,11
0.02,20
0.01,12
0.01,10
0.02,22
0.02,23
0.01,11
0.01,11
0.02,22
0.01,10
0.02,21
0.01,10
0.01,10
0.02,21
0.01,10
0.02,21
0.02,21
0.02,21
0.02,21
0.02,22
0.02,22
0.02,20
0.02,21
0.02,22
0.02,23
0.02,22
0.02,22
0.02,20
0.02,21
0.02,21
0.02,21
0.02,21
0.02,20
0.02,22
0.02,22
0.02,22
0.02,21
0.02,21
0.02,21
0.02,23
0.02,20
0.02,22
0.02,21
0.02,21
0.02,20
0.02,21
0.02,21
0.02,22
0.02,23
0.02,22
0.02,19
0.02,22
0.02,21
0.02,22
0.02,20
0.02,22
0.02,20
0.02,22
0.02,21
0.02,22
0.02,22
0.02,20
0.02,21
0.02,21
0.02,21
0.02,20
0.02,21
0.02,20
0.02,19
0.02,21
0.02,20
0.02,21
0.02,20
0.02,21
0.02,18
0.02,21
0.02,22
0.02,23
0.02,22
0.02,21
0.02,21
0.02,20
0.02,22
0.02,21
0.02,20
0.02,20
0.02,21
0.02,22
0.02,21
0.02,21
0.02,20
0.02,22
0.02,21
0.02,22
0.02,21
0.02,21
0.02,22
0.03,31
0.03,31
0.03,30
0.03,31
0.03,32
0.03,31
0.03,32
0.03,35
0.03,31
0.03,30
0.03,31
0.03,31
0.03,32
0.03,31
0.03,30
0.03,31
0.03,28
0.03,31
0.03,33
0.03,31
0.03,32
0.03,30
0.03,32
0.03,30
0.03,30
0.03,30
0.03,32
0.03,33
0.03,32
0.03,31
0.03,32
0.03,31
0.03,33
0.03,30
0.03,31
0.03,32
0.03,31
0.03,31
0.03,33
0.03,30
0.03,33
0.03,31
0.03,31
0.03,30
0.03,31
0.03,33
0.03,32
0.03,30
0.03,32
0.03,30
0.03,30
0.03,32
0.03,32
0.03,30
0.03,28
0.03,33
0.03,31
0.03,31
0.03,29
0.03,31
0.03,33
0.03,32
0.03,30
0.03,33
0.03,31
0.03,30
0.03,31
0.03,28
0.03,31
0.03,29
0.03,31
0.03,29
0.03,28
0.03,31
0.03,31
0.03,30
0.03,31
0.03,29
0.03,32
0.03,31
0.03,32
0.03,31
0.03,31
0.03,32
0.03,31
0.03,34
0.03,30
0.03,30
0.03,32
0.03,30
0.03,30
0.03,32
0.03,32
0.03,32
0.03,33
0.03,30
0.03,27
0.03,33
0.03,30
0.04,41
0.04,43
0.04,42
0.04,43
0.04,42
0.04,44
0.04,47
0.04,42
0.04,38
0.04,43
0.04,39
0.04,40
0.04,40
0.04,42
0.04,43
0.04,39
0.04,40
0.04,37
0.04,43
0.04,46
0.04,42
0.04,44
0.04,44
0.04,40
0.04,43
0.04,41
0.04,40
0.04,44
0.04,42
0.04,44
0.04,41
0.04,43
0.04,44
0.04,41
0.04,38
0.04,42
0.04,43
0.04,43
0.04,41
0.04,42
0.04,43
0.04,43
0.04,39
0.04,40
0.04,42
0.04,44
0.04,41
0.04,40
0.04,44
0.04,38
0.04,42
0.04,46
0.04,41
0.04,40
0.04,37
0.04,45
0.04,39
0.04,41
0.04,46
0.04,43
0.04,42
0.04,44
0.04,42
0.04,39
0.04,39
0.04,42
0.04,41
0.04,41
0.04,39
0.04,40
0.04,42
0.04,39
0.04,41
0.04,40
0.04,42
0.04,39
0.04,42
0.04,39
0.04,43
0.04,42
0.04,40
0.04,40
0.04,42
0.04,41
0.04,42
0.04,44
0.04,41
0.04,45
0.04,41
0.04,43
0.04,37
0.04,39
0.04,43
0.04,45
0.04,40
0.04,44
0.04,40
0.04,42
0.04,40
0.04,39
0.05,51
0.05,50
0.05,53
0.05,52
0.05,52
0.05,56
0.05,53
0.05,51
0.05,50
0.05,50
0.05,51
0.05,49
0.05,50
0.05,52
0.05,53
0.05,48
0.05,51
0.05,55
0.05,53
0.05,52
0.05,53
0.05,48
0.05,49
0.05,53
0.05,51
0.05,52
0.05,52
0.05,52
0.05,55
0.05,54
0.05,52
0.05,52
0.05,51
0.05,52
0.05,52
0.05,50
0.05,45
0.05,49
0.05,52
0.05,53
0.05,50
0.05,50
0.05,51
0.05,50
0.05,48
0.05,52
0.05,47
0.05,54
0.05,51
0.05,48
0.05,55
0.05,48
0.05,50
0.05,55
0.05,48
0.05,49
0.05,48
0.05,49
0.05,54
0.05,52
0.05,50
0.05,48
0.05,54
0.05,48
0.05,51
0.05,49
0.05,50
0.05,49
0.05,51
0.05,50
0.05,49
0.05,51
0.05,50
0.05,48
0.05,52
0.05,53
0.05,52
0.05,48
0.05,49
0.05,50
0.05,53
0.05,50
0.05,53
0.05,50
0.05,51
0.05,53
0.05,50
0.05,50
0.05,52
0.05,46
0.05,49
0.05,54
0.05,49
0.05,50
0.05,54
0.05,49
0.05,48
0.05,52
0.06,61
0.06,63
0.06,65
0.06,63
0.06,64
0.06,64
0.06,64
0.06,63
0.06,60
0.06,60
0.06,60
0.06,61
0.06,64
0.06,66
0.06,62
