P,num_trading_agents_SM
0.07,72
0.02,20
0.03,30
0.06,63
0.11,106
0.04,41
0.14,133
0.08,81
0.1,100
0.05,52
0.01,10
0.12,115
0.38,296
0.4,302
0.09,88
0.2,182
0.22,193
0.15,144
0.39,300
0.25,215
0.19,176
0.24,205
0.26,220
0.37,294
0.21,187
0.13,122
0.18,170
0.35,275
0.17,162
0.33,263
0.23,200
0.43,319
0.44,319
0.27,226
0.46,333
0.42,310
0.16,152
0.41,308
0.32,263
0.28,236
0.3,247
0.5,341
0.36,284
0.34,271
0.51,341
0.31,255
0.29,244
0.47,335
0.76,267
0.67,326
0.78,245
0.77,255
0.57,352
0.52,347
0.69,314
0.56,355
0.79,233
0.54,349
0.72,298
0.8,225
0.71,304
0.82,207
0.65,335
0.81,218
0.62,334
0.68,317
0.87,148
0.86,160
0.75,268
0.83,198
0.64,334
0.61,343
0.45,324
0.85,172
0.73,293
0.89,131
0.7,305
0.98,24
0.96,49
0.99,10
0.88,142
0.49,337
0.91,110
0.63,335
0.74,283
0.95,62
0.9,120
0.53,346
0.6,348
0.94,71
0.97,37
0.84,182
0.48,338
0.93,85
0.92,97
0.58,351
0.66,326
0.59,349
0.55,349
