P,num_trading_agents_BM
0.05,57
0.04,44
0.01,11
0.03,33
0.02,24
0.06,68
0.07,85
0.09,99
0.1,112
0.12,134
0.11,127
0.15,162
0.14,149
0.16,175
0.13,143
0.17,180
0.18,188
0.2,212

0.21,220
0.22,223
0.24,238
0.3,300
0.31,295
0.32,311
0.33,319
0.34,327
0.37,330
0.36,331
0.25,245
0.28,264
0.26,252
0.29,285
0.4,345
0.35,314
0.43,364
0.42,359
0.39,358
0.45,366
0.38,341
0.48,359
0.49,364
0.51,372
0.52,384
0.53,384
0.44,371
0.54,368
0.55,366
0.56,379
0.46,369
0.57,367
0.58,362
0.5,367
0.59,369
0.6,360
0.62,355
0.64,338
0.63,346
0.61,366
0.68,325
0.69,322
0.99,8
0.01,11
0.02,23
0.03,33
0.98,23
0.7,312
0.72,303
0.97,34
0.96,47
0.74,286
0.07,82
0.09,101
0.78,247
0.79,235
0.76,259
0.75,269
0.95,60
0.08,91
0.77,260
0.8,224
0.94,64
0.81,216
0.12,130
0.87,144
0.84,183
0.93,75
0.82,205
0.86,160
0.85,163
0.88,141
0.92,87
0.14,152
0.91,101
0.15,166
0.9,115
0.71,312
0.89,132
0.66,326
0.17,186
0.21,221
0.05,57
0.19,202
0.67,333
0.23,236
0.2,216
0.24,239
0.11,118
0.25,251
0.1,115
0.06,71

0.29,288
0.26,247
0.16,177
0.18,193
0.33,313
0.27,262
0.35,322
0.37,328
0.13,143
0.3,298
0.4,346
0.31,315
0.47,378
0.34,319
0.36,330
0.38,345
0.51,374
0.39,349
0.41,358
0.54,380
0.53,364
0.42,348
0.45,359
0.57,366
0.58,363
0.44,366
0.43,367
0.59,354
0.6,369
0.46,375
0.61,352
0.63,349
0.65,339
0.48,380
0.32,312
0.68,319
0.67,328
0.49,370
0.5,370
0.7,312
0.99,8
0.74,271
0.02,22
0.03,36
0.01,12
0.98,22

0.56,377
0.55,371
0.95,62
0.04,50
0.94,64
0.05,59
0.76,266
0.92,84
0.77,246
0.89,120
0.91,102
0.96,47
0.87,139
0.06,74
0.07,79
0.86,163
0.08,94
0.8,231
0.83,193
0.62,340
0.9,113
0.09,98
0.1,112
0.11,125
0.73,290
0.66,338
0.69,329
0.72,301
0.64,339
0.12,138
0.13,145
0.71,306
0.15,164
0.16,168
0.17,183
0.18,190
0.81,216
0.19,200
0.2,214
0.21,217
0.93,84
0.22,226
0.23,236
0.84,171
0.24,240
0.97,35
0.27,265
0.26,253
0.25,250
0.29,290
0.28,275
0.75,269
0.88,135
0.3,288
0.85,164
0.78,248
0.31,300
0.32,294
0.82,200
0.33,313
0.34,324
0.36,337
0.35,330
0.38,339
0.37,338
0.41,353
0.44,352
0.45,366
0.42,355
0.43,370
0.48,380
0.46,361
0.51,379
0.47,373
0.52,383
0.54,386
0.53,358
0.56,381
0.57,372
0.58,372
0.55,374
0.61,355
0.63,349
0.64,342
0.67,331
0.4,344
0.59,360
0.99,9
0.62,336
0.78,244
0.75,267
0.86,159
0.65,344
0.66,330
0.98,22
0.01,11
0.92,91
0.93,82
0.85,167
0.91,104
0.68,331
0.94,64
0.9,116
0.97,34
0.87,148
0.81,208
0.89,124
0.95,60
0.82,202
0.02,23
0.03,36
0.96,48
