P,num_trading_agents_BM
0.01,10
0.02,21
0.03,28
0.04,43
0.05,48
0.06,58
0.07,66
0.08,72
0.09,84
0.1,92
0.11,94
0.12,102
0.13,102
0.14,104
0.15,116
0.16,116
0.17,124
0.18,136
0.19,136
0.2,138
0.21,139
0.22,136
0.23,128
0.24,129
0.25,130
0.26,136
0.27,138
0.28,144
0.29,150
0.31,142
0.33,138
0.35,144
0.36,136
0.3,148
0.37,137
0.38,144
0.39,136
0.4,130
0.41,123
0.42,114
0.32,143
0.44,118
0.34,139
0.45,114
0.47,115
0.46,112
0.5,100
0.49,101
0.53,99
0.51,103
0.57,88
0.52,111
0.56,96
0.54,98
0.55,97
0.59,75
0.58,88
0.43,124
0.6,81
0.63,62
0.62,68
0.65,67
0.66,63
0.48,110
0.68,59
0.98,3
0.01,10
0.02,22
0.96,2
0.95,3
0.69,56
0.94,6
0.7,53
0.05,49
0.64,58
0.93,6
0.92,9
0.74,49
0.72,60
0.75,54
0.9,18
0.67,62
0.85,26
0.89,18
0.77,49
0.76,45
0.81,44
0.87,24
0.08,75
0.84,27
0.82,35
0.97,7
0.03,32
0.71,53
0.04,41
0.15,112
0.79,48
0.8,46
0.88,20
0.16,124
0.73,55
0.17,124
0.78,47
0.07,70
0.18,130
0.09,84
0.1,91
0.2,134
0.11,90
0.22,128
0.12,103
0.14,108
0.24,129
0.25,130
0.13,105
0.27,142
0.29,144
0.31,141
0.3,139
0.19,129
0.21,139
0.35,143
0.37,135
0.38,142
0.23,136
0.39,133
0.26,135
0.28,150
0.4,131
0.41,127
0.42,121
0.33,136
0.32,134
0.44,115
0.43,112
0.46,111
0.47,114
0.45,111
0.36,140
0.48,102
0.5,95
0.51,103
0.53,96
0.54,101
0.55,96
0.57,90
0.58,89
0.49,107
0.6,72
0.61,79
0.52,107
0.62,68
0.68,61
0.99,0

0.67,60
0.7,53
0.69,59
0.97,7

0.88,21
0.86,24
0.98,3
0.75,53
0.96,2
0.73,54
0.95,3
0.72,60
0.85,26
0.79,49
0.74,57
0.9,18
0.01,10
0.94,6
0.71,51
0.84,27
0.81,47
0.56,101
0.89,20
0.8,48
0.02,21
0.83,34
0.93,7
0.59,80
0.04,42
0.91,12
0.76,44
0.03,30
0.77,50
0.92,11
0.05,52
0.06,63
0.64,63
0.07,68
0.66,67
0.08,72
0.11,97
0.1,87
0.12,97
0.14,105
0.15,115
0.16,120
0.18,126
0.19,135
0.2,133
0.21,134
0.22,130
0.23,129
0.25,136
0.24,131
0.26,134
0.27,131
0.28,140
0.29,151
0.3,155
0.31,143
0.32,148
0.33,139
0.34,134
0.37,138
0.35,133
0.36,135
0.38,135
0.39,138
0.4,136
0.42,118
0.41,125
0.43,117
0.44,111
0.17,131
0.45,112
0.46,122
0.47,121
0.48,110
0.51,105
0.49,105
0.5,97
0.52,107
0.53,99
0.54,100
0.57,94
0.55,98
0.56,103
0.6,77
0.59,85
0.64,63
0.62,71
0.63,69
0.99,0
0.98,2
0.65,71
0.67,64
0.66,65
0.96,2
0.8,44
0.97,8
0.81,45
0.68,65
0.92,10
0.94,6
0.95,3
0.93,8
0.79,47
0.69,58
0.91,11
0.7,50
0.01,10
0.71,61
0.83,35
0.77,43
0.75,51
0.86,22
0.85,26
0.74,52
0.73,56
0.9,16
0.87,27
0.72,50
0.02,21
0.84,28
0.76,48
0.88,23
0.89,20
0.03,30
0.04,41
0.05,50
0.06,61
0.07,66
0.08,73
0.09,82
0.1,88
0.12,101
0.11,91
0.13,101
0.14,112
0.15,114
0.16,122
0.18,132
0.17,131
0.19,136
0.2,135
0.21,142
0.22,132
0.23,131
0.26,138
0.24,132
0.25,139
0.27,140
0.29,151
0.28,146
0.31,148
0.3,144
0.32,142
0.33,135
0.34,144
0.44,118
0.35,136
0.36,140
0.37,142
0.38,140
0.47,112
0.39,130
0.41,127
0.42,128
0.48,106
0.43,120
0.45,112
0.52,100
0.46,109
0.54,99
0.55,101
0.49,108
0.5,103
0.59,85
0.51,101
0.63,71
0.53,101
0.56,98
0.57,96
0.58,91
0.88,23
0.6,79

0.91,12
0.9,16
0.79,48
0.81,40
0.99,0
0.89,20
0.61,74
0.62,69
0.86,26
0.94,6
0.96,2
0.87,23
0.85,24
0.93,7
0.98,2
0.97,7
0.83,34
0.95,3
0.65,61
0.64,66
0.66,66
0.84,26
0.92,11
0.02,22
0.78,48
0.67,68
0.74,54
0.82,40
0.68,56
0.03,31
0.77,47
0.7,46
0.8,44
0.69,59
0.04,43
0.71,58
0.73,57
0.76,49
0.05,51
0.72,56
0.06,64
0.07,66
0.08,77
0.11,93
0.1,90
0.12,95
0.13,98
0.14,109
0.16,114
0.15,117
0.17,128
0.18,126
0.19,141
0.2,132
0.21,134
0.22,127
0.23,130
0.25,138
0.24,130
0.26,141
0.27,139
0.29,149
0.28,143
0.3,143
0.31,146
0.32,142
0.34,140
0.33,135
0.35,136
0.36,129
0.38,140
0.39,135
0.37,137
0.42,122
0.4,126
0.41,120
0.43,126
0.44,113
0.46,110
0.45,106
