Percentage_of_Sellers,Percentage_of_Agents_Trading,Consumptive_Use_Sellers,Consumptive_Use_Buyers,Volume_Quantity_Filled_Sellers,Volume_Quantity_Filled_Buyers,Initial_AV_Sellers,Initial_AV_Buyers
0.05,1.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,3.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,4.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,6.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,8.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,9.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,11.200000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,12.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,14.399999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,16.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,17.599999999999998,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,19.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,20.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,22.400000000000002,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,24.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,25.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,27.200000000000003,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,28.799999999999997,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,30.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,32.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,33.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,35.199999999999996,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,36.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,38.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,40.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,41.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,43.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,44.800000000000004,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,46.400000000000006,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,48.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,49.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,51.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,53.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,55.00000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,56.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,58.599999999999994,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,60.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,62.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,64.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,65.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,67.60000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,69.39999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,71.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,73.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,74.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,76.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,78.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,80.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,82.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,83.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,85.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,87.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,89.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,91.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,93.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,95.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,97.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,99.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,101.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,103.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,105.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,107.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,109.00000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,111.00000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
